sid x tnorm time
0 8 1 3.41844
0 16 1.1245 3.84402
0 32 1.42035 4.85539
0 64 2.10264 7.18776
1 8 1.07363 1.06505
1 16 1 0.992011
1 32 1.0714 1.06284
1 64 1.47291 1.46114
2 8 1.16423 1.69553
2 16 1 1.45635
2 32 1.05726 1.53974
2 64 1.23886 1.80421
