sid x tnorm time
0 128 1.63869 5.60176
0 256 1.32003 4.51243
0 512 1.1625 3.97395
0 1024 1 3.41844
0 2048 1.06077 3.62619
0 4096 1.51541 5.18034
1 128 1.49236 1.48043
1 256 1.22898 1.21916
1 512 1.02287 1.0147
1 1024 1 0.992011
1 2048 1.15153 1.14233
1 4096 1.56525 1.55274
2 128 1.22067 1.77772
2 256 1.04678 1.52448
2 512 1 1.45635
2 1024 1.03879 1.51284
2 2048 1.06409 1.54969
2 4096 1.50513 2.19201
