sid x tnorm time
0 8 1.11317 1.51189
0 16 1 1.35819
0 32 1.15785 1.57258
0 64 1.52134 2.06627
1 8 1.33588 0.577407
1 16 1.16454 0.503347
1 32 1 0.432229
1 64 1.16209 0.502291
2 8 1.47777 1.13742
2 16 1.04184 0.801892
2 32 1 0.769687
2 64 1.1102 0.854505
