molecule lis lis_em lis_ep lis_it amgx amgx_em amgx_ep amgx_it amgxcfg amgxcfg_em amgxcfg_ep amgxcfg_it
1CCM 1.5748 0.0268491 0.0629646 125 1.10622 0.0108941 0.0583253 371 1 0.0142128 0.0425165 41
6VYB 14.8808 0.0263374 0.0115114 176 1.642 0.0420754 0.00254524 527 1 0.00490517 0.00769962 51
1vsz 14.5232 0.246298 0.0787258 168 1.61844 0.00886367 0.000401876 523 1 0.00263657 0.0115762 51
H1N1 12.3008 0 0 169 nan 0 0 nan 1 0 0 31
