sx setup solve total
s0 0.00539507 6.46419 6.46959
s1 0.0208577 2.85731 2.87817
s2 0.00606906 2.86332 2.87054
s3 0.00323843 1.66936 1.6726
s4 0.0235676 2.69647 2.71847
