mac p pairid sleaf tleaf time err_pol err_ionic err_sum pareto
0.5 9 1 64 64 2.68548 5.7369e-08 2.15189e-06 4.31086e-09 0
0.5 9 2 128 128 3.16792 4.24087e-08 1.86281e-06 3.45428e-09 0
0.5 9 3 256 256 5.0365 3.20319e-08 6.41473e-07 2.54976e-09 0
0.5 10 0 32 32 3.89544 1.80099e-09 3.39008e-08 1.43192e-10 0
0.5 10 1 64 64 3.23354 2.21147e-08 1.0294e-06 1.80579e-09 0
0.5 10 2 128 128 3.47344 9.60115e-09 1.95036e-09 7.49208e-10 0
0.5 10 3 256 256 5.16606 6.67264e-09 2.56736e-07 5.40684e-10 0
0.6 6 0 32 32 0.920485 8.21356e-06 0.000251654 6.60557e-07 0
0.6 6 1 64 64 1.19838 7.98757e-06 0.000134622 6.33852e-07 0
0.6 6 2 128 128 1.78543 3.45559e-06 0.000127445 2.79579e-07 0
0.6 6 3 256 256 3.09251 1.49716e-06 3.05145e-05 1.19216e-07 0
0.6 7 0 32 32 1.15145 2.79367e-06 0.000105167 2.26191e-07 0
0.6 7 1 64 64 1.3501 1.84151e-06 7.08027e-05 1.49214e-07 0
0.6 7 2 128 128 1.87299 5.88747e-08 1.91505e-05 3.11133e-09 1
0.6 7 3 256 256 3.15678 2.16593e-06 4.02746e-05 1.72169e-07 0
0.6 8 0 32 32 1.58941 3.03079e-07 5.35014e-05 2.78002e-08 1
0.6 8 1 64 64 1.61023 1.14e-06 4.76067e-05 9.26646e-08 0
0.6 8 2 128 128 2.04488 4.18965e-07 3.00516e-05 3.03714e-08 0
0.6 8 3 256 256 3.30835 2.70471e-07 5.67892e-06 2.067e-08 0
0.6 9 0 32 32 2.07341 1.10274e-06 8.4593e-05 9.26217e-08 0
0.6 9 1 64 64 1.9028 1.007e-06 4.51673e-05 8.20946e-08 0
0.6 9 2 128 128 2.21966 1.10107e-07 8.00828e-07 8.65579e-09 0
0.6 9 3 256 256 3.41327 3.09897e-08 8.87844e-06 3.10661e-09 0
0.6 10 0 32 32 2.66986 1.50127e-07 5.97095e-06 1.21799e-08 0
0.6 10 1 64 64 2.28235 1.58685e-07 8.0609e-06 1.30098e-08 0
0.6 10 2 128 128 2.40594 8.02442e-09 2.35649e-06 8.08878e-10 1
0.6 10 3 256 256 3.45502 4.02703e-09 6.10808e-06 1.58948e-10 0
0.7 6 0 32 32 0.719657 3.60859e-05 8.1882e-05 2.82281e-06 0
0.7 6 1 64 64 0.875793 9.56224e-06 0.00135654 8.51427e-07 0
0.7 6 2 128 128 1.25184 4.07097e-06 0.000226638 3.35294e-07 0
0.7 6 3 256 256 2.15553 8.82346e-06 0.000396753 7.19401e-07 0
0.7 7 0 32 32 0.913512 9.96834e-07 0.000646881 2.76816e-08 1
0.7 7 1 64 64 1.01992 2.83245e-06 5.37366e-05 2.25233e-07 0
0.7 7 2 128 128 1.33682 2.61458e-06 0.000125446 1.94345e-07 0
0.7 7 3 256 256 2.21295 3.34953e-07 3.9545e-06 2.64491e-08 0
0.7 8 0 32 32 1.21206 1.03918e-05 5.44725e-05 8.0685e-07 0
0.7 8 1 64 64 1.19149 2.34969e-06 2.55782e-05 1.85372e-07 0
0.7 8 2 128 128 1.469 1.69559e-06 1.04057e-06 1.3242e-07 0
0.7 8 3 256 256 2.29488 3.08262e-06 1.75602e-05 2.41955e-07 0
0.7 9 0 32 32 1.59713 3.18927e-06 7.19568e-05 2.43344e-07 0
0.7 9 1 64 64 1.45062 1.03807e-06 2.29193e-06 8.11981e-08 0
0.7 9 2 128 128 1.6476 6.58171e-07 3.73294e-05 4.84773e-08 0
0.7 9 3 256 256 2.38843 1.15424e-06 5.31514e-05 9.42054e-08 0
0.7 10 0 32 32 2.03859 1.75866e-07 8.83671e-05 2.05729e-08 0
0.7 10 1 64 64 1.71612 1.38873e-06 2.89196e-06 1.08165e-07 0
0.7 10 2 128 128 1.79539 1.94598e-07 7.31432e-05 9.52102e-09 1
0.7 10 3 256 256 2.50916 1.72845e-08 4.18241e-06 1.67309e-09 0
0.8 6 0 32 32 0.586696 5.81022e-05 0.000481547 4.57212e-06 1
0.8 6 1 64 64 0.691651 7.18593e-06 0.0022688 3.85068e-07 1
0.8 6 2 128 128 0.954647 3.61934e-07 0.00125045 1.25133e-07 1
0.8 6 3 256 256 1.61528 1.43146e-05 0.0010862 1.2014e-06 0
0.8 7 0 32 32 0.779597 5.7307e-06 0.000582565 4.92412e-07 1
0.8 7 1 64 64 0.835883 4.33498e-06 0.00175336 2.0249e-07 1
0.8 7 2 128 128 1.06035 1.70078e-06 0.000920512 6.14229e-08 0
0.8 7 3 256 256 1.70203 2.93438e-06 0.000401129 1.97946e-07 0
0.8 8 0 32 32 1.03311 4.0267e-06 3.8847e-05 3.1729e-07 0
0.8 8 1 64 64 0.98797 5.933e-07 0.00148375 6.86544e-08 0
0.8 8 2 128 128 1.17272 6.0566e-06 0.000234405 4.54549e-07 0
0.8 8 3 256 256 1.73788 5.12194e-06 0.000473711 4.36465e-07 0
0.8 9 0 32 32 1.28634 1.86355e-06 0.000456236 1.10099e-07 0
0.8 9 1 64 64 1.15832 1.78721e-05 0.000829317 1.33065e-06 0
0.8 9 2 128 128 1.25712 3.83227e-06 0.000430355 3.32448e-07 0
0.8 9 3 256 256 1.88525 2.22641e-06 9.97837e-05 1.66038e-07 0
0.8 10 0 32 32 1.71841 7.0756e-06 0.000474538 5.8901e-07 0
0.8 10 1 64 64 1.42282 5.71077e-06 0.00136475 3.39979e-07 0
0.8 10 2 128 128 1.42894 1.78435e-06 0.000181526 1.25202e-07 0
0.8 10 3 256 256 1.95717 3.73765e-07 4.05226e-05 2.60323e-08 0
