molecule cpu cpu_em cpu_ep cpu_lbl naive naive_em naive_ep naive_lbl fmm fmm_em fmm_ep fmm_lbl
1CCM 0.139165 0.000726 0.000922 0.139 0.0181015 0.0008755 0.0010515 0.0181 0.0563625 0.0009005 0.0025745 0.0564
6VYB 419.602 1.75346 3.73781 420 24.788 0.023186 0.747754 24.8 3.30303 0.026153 0.0056 3.3
1VSZ 124.589 0.610802 0.122152 125 5.06225 0.038437 0.095654 5.06 1.39146 0.040052 0.00146 1.39
H1N1 20000 0 0 {~} 3163.2 0 0 3163 242.789 0 0 243
